PRICE,BEDS,BATH,PROPERTYSQFT,neighborhood,PRICE_PER_SQFT
375000,2,2.0,1350.0,92,277.77777777777777
1375000,14,8.0,6000.0,197,229.16666666666666
4680000,3,4.0,2400.0,184,1950.0
549000,2,2.0,1200.0,71,457.5
549000,3,1.0,1400.0,118,392.14285714285717
950000,3,2.0,1520.0,71,625.0
388000,3,1.0,2184.207862,283,177.63877090192435
5600000,6,6.0,4917.0,290,1138.905836892414
1600000,8,6.0,3472.0,57,460.8294930875576
6995000,5,2.3738608579684373,3912.0,284,1788.087934560327
1399000,6,2.0,2184.207862,196,640.5068053912169
399000,3,2.3738608579684373,1350.0,176,295.55555555555554
529900,1,1.0,630.0,220,841.1111111111111
999000,5,2.0,2184.207862,231,457.37405188407837
